School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
609916,Fermi,Enrico Fermi Elementary School,1415 E 70th St,Chicago,IL,60637,(773) 535-0540,http://www.fermi.cps.k12.il.us,Burnham Park Elementary Network,Skyway Elementary Network,Standard,Level 3,Yes,6,Scantron,Below Average,37.2%,20.8%,44%,36.4%,44.4%,80%,42.1%,42.9%,25%,45.8%,18.2%,41.2%,17.6%,33.3%,31.6%,Far Below Average,15.2%,4%,28%,0%,10.5%,27.8%,22.7%,16.4%,16%,33.3%,0%,16.7%,0%,8.7%,14%,42.9%,,,,,42.7%,31.6%,,,,,32.1%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,99.2%,98.2%,2,2.4,89.9%,87.8%,95.4%,94.2%,No,No,,1186924.7858156366,1858826.1017444397,-87.59039017,41.76772772,"(-87.59039017, 41.76772772)"
609917,Fernwood,Fernwood Elementary School,10041 S Union Ave,Chicago,IL,60628,(773) 535-2700,http://www.fernwood.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Track E,Level 2,Yes,3,Scantron,Far Above Average,83%,87.5%,82.5%,81%,75.9%,90.3%,82.8%,83.3%,94.4%,94.7%,58.5%,82.8%,80.6%,89.7%,82.8%,Above Average,57.9%,69.2%,61.9%,41.9%,36.7%,62.5%,54.8%,54.8%,84.6%,72.5%,34.9%,43.3%,59.4%,71%,60.9%,83.3%,,,71%,,83.6%,82.8%,,,90.3%,,82.7%,Organized,Not Enough Data,Strong,Very Strong,Not Enough Data,Not Enough Data,Strong,95.7%,,2.7,,93.4%,94.8%,96.1%,96.8%,No,No,,1173454.0647735274,1838113.388501734,-87.6403774,41.71119799,"(-87.6403774, 41.71119799)"
609918,Field,Eugene Field Elementary School,7019 N Ashland Ave,Chicago,IL,60626,(773) 534-2030,,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,56.8%,,51.9%,56.7%,71.4%,28.6%,72.2%,56.1%,,57.1%,60.9%,94.7%,21.4%,33.3%,57.6%,Below Average,38.9%,,20.9%,31.5%,50%,19%,60.5%,34.2%,,40.7%,20.3%,79.4%,26.2%,57.1%,43.7%,54.1%,53.9%,,,49.1%,56.2%,61.1%,56.8%,,,57.1%,57.7%,Moderately Organized,Neutral,Weak,Weak,Strong,Strong,Neutral,82.6%,92.9%,1.8,1.9,96.8%,96.9%,96.7%,96.4%,No,No,,1164539.5606462883,1946810.3375096489,-87.66994862,42.00966462,"(-87.66994862, 42.00966462)"
609919,Fiske,John Fiske Elementary School,6145 S Ingleside Ave,Chicago,IL,60637,(773) 535-0990,http://www.cuip.net/schools/fiske,Burnham Park Elementary Network,Burnham Park Elementary Network,Track E,Level 2,Yes,5,NWEA,Average,53.6%,35.3%,34.8%,73.3%,69%,68.4%,53.3%,55.9%,30%,39.1%,43.8%,77.8%,65.2%,53.3%,51.3%,Far Below Average,22.6%,31.6%,12.5%,29.4%,16.7%,40.9%,25%,25%,18.2%,4.2%,5.6%,21.1%,36%,37.5%,20.2%,55.9%,,,,,55.7%,51.3%,,,,,50%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,97.1%,63.4%,2.5,2.4,92.9%,93%,91.7%,92.9%,No,No,,1183547.7784336265,1864329.6476009246,-87.60259685,41.78290934,"(-87.60259685, 41.78290934)"
609920,Kanoon,Gerald Delgado Kanoon Elementary Magnet School,2233 S Kedzie Ave,Chicago,IL,60623,(773) 534-1736,,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Track E,Level 3,Yes,2,Scantron,Average,48.7%,30.2%,41.4%,54%,54.4%,43.8%,58.3%,47.4%,45.8%,40.8%,55.6%,50%,58.7%,52.1%,50%,Far Below Average,28.5%,20%,27%,26.6%,32.2%,20.8%,37.5%,27.5%,17%,27%,40.6%,32.2%,27.1%,31.3%,29.5%,,47.4%,,,42.4%,47.4%,,50%,,,55%,50.3%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,60%,45.9%,4.1,3.3,95.9%,95.6%,95.6%,96.5%,No,No,,1155417.2730083058,1888838.931345313,-87.70507547,41.85077575,"(-87.70507547, 41.85077575)"
609921,Telpochcalli,Telpochcalli Elementary School,2832 W 24th Blvd,Chicago,IL,60623,(773) 534-1402,http://www.telpochcalli.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Standard,Level 3,Yes,2,Scantron,Average,45.9%,50%,41.2%,52.6%,46.2%,46.2%,68.8%,50%,64.3%,37.5%,57.9%,25%,33.3%,42.9%,41.4%,Below Average,35.5%,46.7%,17.6%,15%,37%,51.9%,18.8%,32.8%,53.3%,52.9%,35%,35.7%,37%,18.8%,38.2%,,50.5%,,,53.3%,50%,,43.3%,,,46.7%,40.6%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,,33.3%,,2.1,95.4%,96%,94.7%,96%,No,No,,1157725.352252614,1887836.5085557778,-87.6966316,41.84797834,"(-87.6966316, 41.84797834)"
609922,Belmont-cragin,Belmont-Cragin Elementary School,2456 N Mango Ave,Chicago,IL,60639,(773) 534-2900,http://www.belmontcragin.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Track E,Level 3,Yes,1,Scantron,Average,49.5%,36%,42.9%,64.5%,65.4%,45.5%,48.1%,51.3%,60%,36%,43.3%,50%,60%,42.3%,47.5%,Below Average,36.4%,16%,24%,32.3%,23.1%,39.1%,40.7%,29.3%,34.8%,38.5%,35.5%,39.1%,54.5%,61.5%,43.7%,,51.3%,,,64.7%,50%,,48.6%,,,51.6%,47.1%,Well-organized,Strong,Strong,Strong,Strong,Neutral,Strong,35.7%,4.3%,1.8,2,95.3%,86%,96.8%,96.1%,Pending,No,,1137592.3196551022,1915980.7640113921,-87.76984337,41.92559567,"(-87.76984337, 41.92559567)"
609924,Fort Dearborn,Fort Dearborn Elementary School,9025 S Throop St,Chicago,IL,60620,(773) 535-2680,http://www.fortdearborn.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 3,Yes,1,Scantron,Average,50.4%,45.1%,38.1%,43.2%,40%,57.1%,73.1%,50.4%,45.3%,38.1%,53.3%,68.6%,50%,50.9%,50.4%,Below Average,42.4%,24.6%,24.4%,27.7%,35.9%,43.8%,48.2%,34.2%,31.5%,28.9%,52.2%,64.1%,62.2%,66.7%,50.7%,50.2%,,,,,50.4%,50.4%,,,,,50.6%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,100%,94.3%,3.4,2.4,93.4%,93%,95.9%,95.8%,No,No,,1169287.1832551826,1844810.5379357075,-87.65544435,41.72966698,"(-87.65544435, 41.72966698)"
609925,Kellman,Joseph Kellman Corporate Community ES,751 S Sacramento Blvd,Chicago,IL,60612,(773) 534-6602,,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,55.3%,76.7%,40%,45.2%,60.7%,70%,68%,60.4%,70%,44%,48.4%,57.1%,43.3%,36%,50.3%,Average,45.3%,43.3%,56%,25.8%,39.3%,60%,60%,46.7%,43.3%,40%,32.3%,53.6%,36.7%,60%,43.8%,60.4%,,,,,59.3%,50%,,,,,48.1%,Organized,Neutral,Very Strong,Very Strong,Neutral,Neutral,Very Strong,81.3%,90.9%,1.3,1.4,95.2%,95.2%,95.8%,95.2%,Pending,No,,1156531.9058940131,1896287.5440962694,-87.70078311,41.87119309,"(-87.70078311, 41.87119309)"
609926,Franklin,Franklin Elementary Fine Arts Center,225 W Evergreen Ave,Chicago,IL,60610,(773) 534-8510,http://www.franklinfineartscenter.org,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,62.2%,41.1%,55.2%,54.8%,62.5%,76.7%,70%,57.1%,41.8%,78.3%,69.4%,53.3%,83.3%,86.7%,67.4%,Far Above Average,76.3%,73.2%,72.4%,66.1%,75%,86.7%,80%,73.9%,65.5%,83.3%,74.2%,87.1%,86.7%,86.7%,78.7%,45.5%,66%,67.5%,57.9%,,47.9%,57.1%,61.5%,77.4%,63.9%,,56.5%,Well-organized,Strong,Strong,Strong,Strong,Strong,Very Strong,85.7%,65.2%,2.1,1.7,95.9%,96.2%,95.3%,95.3%,No,No,,1174204.012089577,1909317.5625540204,-87.6355136,41.90657253,"(-87.6355136, 41.90657253)"
609927,Foster Park,Foster Park Elementary School,8530 S Wood St,Chicago,IL,60620,(773) 535-2725,http://www.fosterpark.cps.k12.il.us,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Standard,Level 3,Yes,5,Scantron,Below Average,40.8%,35.3%,27.6%,36.4%,47.2%,41.7%,41.9%,38.5%,34.4%,61.5%,44.1%,44.1%,41.7%,35.7%,43.3%,Far Below Average,26.4%,30.6%,15.6%,13.5%,26.3%,25.8%,30.3%,23.7%,25%,34.4%,25%,30.6%,25.9%,34.3%,29.2%,38.7%,,,,,38.6%,42.9%,,,,,42.5%,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Weak,97.4%,90.5%,2.2,2.5,93.7%,92.2%,94.7%,95.3%,Pending,No,,1165798.1794175517,1847975.277793023,-87.66813597,41.7384262,"(-87.66813597, 41.7384262)"
609928,Fuller,Melville W Fuller Elementary School,4214 S Saint Lawrence Ave,Chicago,IL,60653,(773) 535-1687,http://www.fuller.cps.k12.il.us,AUSL Schools,Burnham Park Elementary Network,Track E,Level 3,Yes,6,Scantron,Below Average,42.1%,33.3%,,30%,66.7%,64.7%,28.6%,44.2%,,,,53.3%,25%,33.3%,39.7%,Far Below Average,13.3%,0%,,0%,0%,28.6%,25%,15.6%,,16.7%,,0%,20%,9.5%,10.7%,44.7%,,,,,44.2%,38.9%,,,,,39.7%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,44.7%,57%,2.8,2.6,91.8%,89.9%,93.9%,94%,No,No,,1180924.7214392738,1877097.464408959,-87.61182077,41.8180061,"(-87.61182077, 41.8180061)"
609929,Fulton,Robert Fulton Elementary School,5300 S Hermitage Ave,Chicago,IL,60609,(773) 535-9000,,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 2,Yes,10,NWEA,Far Above Average,74.9%,64.9%,70%,81%,66.7%,80.6%,38.5%,68.4%,73.2%,85.7%,94.1%,89.5%,88%,66.7%,82.6%,Below Average,31.5%,15.9%,44.1%,25.5%,11.8%,20%,18.5%,22.6%,23.4%,60%,51.3%,32%,55.2%,37.5%,41.8%,65.3%,76.7%,,,,68.1%,79%,97.1%,,,,82.4%,Well-organized,Neutral,Strong,Strong,Strong,Strong,Neutral,92.5%,69.1%,2.2,4.3,95.1%,93.7%,96.8%,96.7%,Pending,No,,1165540.2441355314,1869516.2081520031,-87.66847093,41.79754288,"(-87.66847093, 41.79754288)"
609930,Funston,Frederick Funston Elementary School,2010 N Central Park,Chicago,IL,60647,(773) 534-4125,http://www.funston.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Track E,Level 2,Yes,4,NWEA,Above Average,64.8%,65.4%,70%,76.9%,70.8%,78.3%,69.8%,71.6%,63.6%,40.4%,59.5%,59.6%,63%,64.7%,58%,Far Below Average,29%,33.9%,30.2%,35.7%,34%,29.8%,34.1%,32.9%,40.4%,9.3%,24.4%,24.5%,17%,37.1%,25.1%,71.8%,71.6%,,84.4%,76.9%,71.5%,55.6%,57.8%,,,56.4%,58.2%,Not Yet Organized,Weak,Neutral,Neutral,Very Weak,Weak,Neutral,72.5%,69.4%,2.6,1.8,94.7%,93.9%,95.4%,96.3%,No,No,,1152012.962922216,1913173.9559474052,-87.71692852,41.91762127,"(-87.71692852, 41.91762127)"
609932,Owens,Jesse Owens Elementary Community Academy,12450 S State St,Chicago,IL,60628,(773) 535-5661,http://www.owens.cps.k12.il.us,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 3,Yes,1,Scantron,Below Average,33.3%,21.7%,,,,,,21.7%,45%,,,,,,45%,Far Below Average,20%,15.4%,,,,,,15.4%,24.6%,,,,,,24.6%,21.7%,,,,,20.3%,45%,,,,,45.8%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,60%,86.2%,1.8,2.5,91.3%,90.2%,93.5%,93.7%,No,No,,1178488.21360224,1822184.0593718844,-87.62242272,41.66737294,"(-87.62242272, 41.66737294)"
609933,Gale,Stephen F Gale Elementary Community Academy,1631 W Jonquil Ter,Chicago,IL,60626,(773) 534-2100,http://www.galemathscience.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 3,Yes,4,Scantron,Average,47.4%,34.1%,50%,37%,50%,38.1%,51.9%,43.6%,40.9%,56.4%,63%,44.4%,57.1%,52%,51%,Far Below Average,27.1%,18.8%,20.5%,10.3%,22.5%,37%,38.7%,23.8%,10.4%,31.7%,34.5%,27.5%,46.4%,45.2%,30.4%,44.1%,45.5%,,,,43.5%,49.3%,58.7%,,,,51.6%,Organized,Not Enough Data,Very Strong,Strong,Not Enough Data,Not Enough Data,Strong,68.9%,74.2%,2,1.9,92.1%,91.6%,95.2%,94.7%,Yes,No,,1163959.517266271,1950960.2045720685,-87.67196481,42.02106425,"(-87.67196481, 42.02106425)"
609935,Gallistel,Matthew Gallistel Elementary Language Academy,10347 S Ewing Ave,Chicago,IL,60617,(773) 535-6540,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,57.5%,58.1%,50.8%,49.2%,58.7%,53%,66.1%,55.9%,66.9%,47.6%,55%,78.6%,46.1%,60%,59.2%,Below Average,39.7%,33.1%,23.6%,30.2%,31.7%,46.7%,48.4%,35.4%,33.9%,29.9%,40.8%,54.8%,48.3%,56.6%,43.9%,,55.6%,,43.9%,26.9%,55.6%,,59.4%,,56.1%,47.8%,59.4%,Not Yet Organized,Weak,Neutral,Weak,Weak,Very Weak,Neutral,41.3%,46.7%,2.9,2.7,95.1%,94.3%,96.3%,96.6%,No,No,,1202203.3526853197,1836767.746693729,-87.53513861,41.70682232,"(-87.53513861, 41.70682232)"
609937,Garvy,John W Garvy Elementary School,5225 N Oak Park Ave,Chicago,IL,60656,(773) 534-1185,http://www.garvy.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,Scantron,Average,52.4%,55%,48.8%,45.5%,52.7%,52.8%,50%,51.1%,72.5%,64.3%,53.7%,46.8%,47.2%,35.2%,53.6%,Above Average,59.9%,55.6%,47.6%,60.7%,47.9%,59.5%,66.2%,55.4%,67.9%,72.6%,64.3%,61.7%,54.1%,65.3%,64.4%,,45.5%,55.1%,42.3%,,47.1%,,50.8%,54%,47.9%,,50.7%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,65.9%,63.1%,2,1.3,95.3%,96.1%,96.5%,96%,No,No,,1130304.4144703788,1934430.6939726474,-87.79619832,41.97635262,"(-87.79619832, 41.97635262)"
609938,Gary,Joseph E Gary Elementary School,3740 W 31st St,Chicago,IL,60623,(773) 534-1455,http://www.gary.cps.k12.il.us,Pilsen-Little Village Elementary Network,Pilsen-Little Village Elementary Network,Standard,Level 2,No,0,Scantron,Average,53.5%,50.6%,55.7%,63.7%,67.3%,40.6%,60.7%,56.6%,52%,64.7%,56.5%,58%,16.5%,45.3%,50.3%,Below Average,37.5%,26.4%,25.3%,24.4%,28.1%,30.5%,37.8%,28.1%,31.7%,45%,57%,54.2%,33.6%,63%,46.9%,,56.6%,,32.3%,55.7%,56.4%,,50.7%,,45.2%,57.6%,50.2%,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Weak,48.1%,33%,2.3,2.1,96.1%,96.3%,96.2%,96.5%,Pending,No,,1151739.7391039194,1883825.9202152558,-87.71870452,41.83709246,"(-87.71870452, 41.83709246)"
609939,Gillespie,Frank L Gillespie Elementary School,9301 S State St,Chicago,IL,60619,(773) 535-5065,http://www.gillespie.cps.k12.il.us,Rock Island Elementary Network,Rock Island Elementary Network,Standard,Level 2,No,0,Scantron,Average,51.9%,40%,38.1%,54.8%,67.2%,40%,57.7%,50.4%,40%,51.2%,56.5%,54.8%,68.9%,53.8%,53.3%,Far Below Average,29.9%,33.8%,25%,29.2%,36.8%,20.4%,43.6%,32.1%,17.6%,28.9%,21.5%,35.8%,28.6%,36.4%,27.6%,50.6%,,,32.8%,,49.1%,52.6%,,,54.4%,,52.3%,Well-organized,Neutral,Very Strong,Very Strong,Strong,Strong,Neutral,75%,18.8%,4.3,2,91.9%,92.7%,96.3%,97.1%,No,No,,1177970.3373538242,1843287.805136899,-87.62368165,41.72529635,"(-87.62368165, 41.72529635)"
609941,Randolph,Asa Philip Randolph Elementary School,7316 S Hoyne Ave,Chicago,IL,60636,(773) 535-9015,http://www.randolphelementary.org,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 2,Yes,6,Scantron,Above Average,69.5%,64.6%,55.3%,67.3%,69.5%,79.5%,41.8%,62%,71.4%,84.2%,82.7%,91.2%,75%,61%,77.3%,Below Average,39.1%,40%,19.5%,19.6%,20%,22.4%,27.9%,24.9%,33.3%,58.5%,50%,60%,56.3%,61.7%,53.6%,62.5%,,,60%,,61.8%,77.2%,,,64.1%,,77.4%,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,80%,82.8%,1.6,1.4,92.1%,90.6%,95.3%,97%,No,No,,1163589.689380884,1856037.7653550562,-87.67600175,41.76059741,"(-87.67600175, 41.76059741)"
609942,Goethe,Johann W von Goethe Elementary School,2236 N Rockwell St,Chicago,IL,60647,(773) 534-4135,http://www.goethe.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,71.1%,62.5%,74.1%,79.4%,65.1%,66.1%,76.2%,70.8%,58.9%,67.2%,81.4%,86.2%,73.2%,61.2%,71.5%,Average,53.9%,46.4%,62.1%,50%,60.9%,54.4%,65.6%,56.7%,48.2%,36.2%,45.9%,63.1%,55.2%,55.9%,51.1%,,70.3%,,68.3%,47.2%,71.3%,,70.9%,,80%,66.7%,71.5%,Well-organized,Very Strong,Strong,Strong,Very Strong,Very Strong,Very Strong,34.7%,,5.8,,95.8%,93.9%,97%,97.4%,No,No,,1158528.6120534593,1915119.2126468427,-87.69293637,41.9228282,"(-87.69293637, 41.9228282)"
609943,Gompers,Samuel Gompers Fine Arts Options ES,12302 S State St,Chicago,IL,60628,(773) 535-5475,http://www.gompersschool.org,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 3,Yes,1,Scantron,Average,47.1%,,36.5%,41.8%,48%,44.6%,44.3%,43.1%,,58%,35.8%,72.9%,50%,43.5%,51.3%,Below Average,32%,,20.8%,20.7%,32.1%,30.5%,23.1%,25.3%,,25.5%,28.8%,49%,41.7%,47%,38.7%,43.2%,,,29.2%,,42.6%,51.5%,,,39.6%,,52.4%,Moderately Organized,Weak,Neutral,Strong,Neutral,Neutral,Weak,55%,65.4%,2.7,2.3,93.6%,94.6%,96%,94.8%,No,No,,1178435.3257629953,1823353.3946679148,-87.62258098,41.67058298,"(-87.62258098, 41.67058298)"
609944,Grissom,Virgil Grissom Elementary School,12810 S Escanaba Ave,Chicago,IL,60633,(773) 535-5380,http://www.grissom.cps.k12.il.us,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,63.6%,46.7%,63.3%,50%,72.7%,74.1%,43.8%,57.2%,76.7%,83.3%,55.2%,59.1%,66.7%,75%,70%,Average,53.6%,53.1%,60.6%,47.1%,72.7%,44.8%,54.5%,54.6%,57.6%,66.7%,48.4%,54.5%,31%,54.5%,52.5%,,55.1%,61.9%,,,54.9%,,73.3%,63.4%,,,67.9%,Organized,Not Enough Data,Strong,Strong,Not Enough Data,Not Enough Data,Strong,,66.7%,,2.1,95.5%,94.7%,96.4%,95.8%,No,No,,1197378.735886173,1820556.0638911023,-87.55334334,41.66245712,"(-87.55334334, 41.66245712)"
609945,Goudy,William C Goudy Elementary School,5120 N Winthrop Ave,Chicago,IL,60640,(773) 534-2480,http://www.goudy.cps.k12.il.us,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Far Above Average,71.7%,65.8%,56.3%,74.7%,77.6%,69.6%,80.8%,70.4%,77.8%,80.8%,76.8%,58.9%,57.1%,82.4%,73.1%,Above Average,57.5%,46.7%,50.7%,45.9%,55.1%,68.4%,61.5%,53.5%,62.2%,57.3%,44.7%,64.7%,80.7%,69.2%,61.6%,64.4%,68.4%,69.8%,64.5%,72.4%,69.9%,75.3%,71.9%,72.1%,74.2%,77%,73%,Well-organized,Strong,Very Strong,Strong,Strong,Strong,Strong,69.8%,93.8%,2.3,2.4,96.1%,95.7%,95.8%,96.8%,No,No,,1167897.9921414866,1934499.5054496366,-87.65794915,41.97581137,"(-87.65794915, 41.97581137)"
609947,Graham,Alexander Graham Elementary School,4436 S Union Ave,Chicago,IL,60609,(773) 535-1308,http://www.graham.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 3,Yes,1,Scantron,Above Average,55.9%,61.5%,51.3%,57.8%,73%,45.5%,48.9%,55.8%,51.3%,53.8%,73.9%,48.7%,44.4%,61.7%,56.1%,Average,46.9%,47.6%,48.7%,36%,43.9%,35.4%,30.6%,39.8%,52.4%,56.4%,56.9%,61%,59.2%,38.8%,53.9%,50%,55.6%,61.3%,50%,,56.7%,50.7%,60%,56.3%,58.5%,,56.1%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Neutral,88.5%,82.4%,2,2.1,92.5%,92.1%,95%,94.7%,No,No,,1172335.7020437196,1875308.9969863815,-87.64338051,41.81329195,"(-87.64338051, 41.81329195)"
609949,"Gray, W",William P Gray Elementary School,3730 N Laramie Ave,Chicago,IL,60641,(773) 534-3520,http://www.gray.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,71.9%,72.2%,70.3%,80.8%,69.7%,75.2%,72.8%,73.2%,83.3%,74.5%,66%,62.8%,65.2%,70.7%,70.7%,Above Average,57.8%,54.1%,53.4%,68.6%,55.9%,76.1%,67.2%,61.8%,58.8%,52%,51.4%,54.9%,60.9%,44.9%,53.9%,,73%,77%,78.3%,75.9%,73.5%,,72.2%,67%,75.8%,76.1%,71.3%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Strong,82.7%,62.5%,2,2.7,95.6%,94.8%,95.9%,95.8%,No,No,,1140988.9805910785,1924452.514818754,-87.75715297,41.94878107,"(-87.75715297, 41.94878107)"
609951,Ariel,Ariel Elementary Community Academy,1119 E 46th St,Chicago,IL,60653,(773) 535-1996,http://www.arielinvestments.com,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,1,NWEA,Above Average,63%,47.7%,56.5%,57.9%,68.6%,67.4%,52.2%,58.7%,64.9%,54.9%,71.1%,75%,77.8%,58%,66.8%,Below Average,42.8%,53.1%,34.7%,47.6%,53.7%,45.8%,39.2%,45.7%,37.3%,31.4%,44.7%,55.4%,40.8%,30.8%,40.1%,58.9%,,,,,59.5%,66.4%,,,57.1%,,65.3%,Organized,Strong,Neutral,Neutral,Strong,Neutral,Neutral,56.7%,20.3%,4.4,4.8,95.5%,95.1%,96%,96.4%,No,No,,1184576.5165139858,1874697.1190228472,-87.5985003,41.81133445,"(-87.5985003, 41.81133445)"
609952,Greene,Nathanael Greene Elementary School,3525 S Honore,Chicago,IL,60609,(773) 535-4560,http://www.greene.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 2,No,0,NWEA,Above Average,61.1%,64.1%,51.8%,61%,,,,59.3%,80.4%,50.6%,56.9%,,,,62.8%,Average,47.8%,47.4%,45.6%,56.4%,,,,50.2%,51.5%,40.9%,43.8%,,,,45.4%,,59.5%,,,57.9%,60.2%,,63.4%,,,72.1%,63.2%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,43.2%,,4,,95.5%,96.1%,96.2%,96.2%,Yes,No,,1164636.2761409308,1881214.5353186415,-87.67145551,41.82966356,"(-87.67145551, 41.82966356)"
609954,Gregory,John Milton Gregory Elementary School,3715 W Polk St,Chicago,IL,60624,(773) 534-6820,http://www.gregoryacademy.org,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 1,No,0,Scantron,Far Above Average,74.9%,69%,88.9%,85.7%,60%,63.6%,92%,76.3%,65.5%,81.5%,76.5%,61.8%,85.7%,76%,73.5%,Average,49.2%,21.9%,74.1%,48.6%,33.3%,46.2%,73.1%,47.8%,40.6%,74.1%,54.3%,33.3%,62.5%,46.2%,50.6%,76.2%,,,,,75.9%,73.4%,,,,,73.1%,Partially Organized,Weak,Weak,Neutral,Strong,Neutral,Weak,64.3%,73.3%,3.1,5.5,95.2%,94%,94.6%,95.6%,Yes,No,,1151660.5653479532,1896077.8119116,-87.71867323,41.87071468,"(-87.71867323, 41.87071468)"
609955,Gresham,Walter Q Gresham Elementary School,8524 S Green St,Chicago,IL,60620,(773) 535-3350,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Standard,Level 3,Yes,5,Scantron,Below Average,36.1%,39.1%,26.2%,25.8%,33.3%,28.2%,50%,33.2%,43.5%,46.5%,48.4%,33.3%,23.1%,41.2%,39.1%,Far Below Average,20.9%,37%,17%,12.9%,14.8%,7.5%,26.5%,18.4%,33.3%,19.1%,51.6%,25.9%,5%,14.7%,23.3%,33%,,,24.3%,,32.8%,39%,,,27%,,38.8%,Moderately Organized,Neutral,Weak,Weak,Strong,Strong,Weak,93.5%,96.8%,2.2,2,95.5%,95.1%,95%,94.8%,No,No,,1172094.3142204704,1848202.3083705876,-87.64506169,41.73891334,"(-87.64506169, 41.73891334)"
